2020-02-12 18:19:39.374 INFO  singlejartest.Main - Connecting...
2020-02-12 18:19:39.919 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - environment(jnlp.client.mode)=DEMO, platformInstanceId=null
2020-02-12 18:19:39.936 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 1 request [1287DC9881D1B2AE81D95D1B2337B239909EC8BA]
2020-02-12 18:19:39.938 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - >> [https://login.dukascopy.com/authorization-1/demo/auth?munus=srp_api&passus=1&sermo=b28f9638-b5f2-45cc-8cdb-72070ee15dc9&putent_genus=0&appello=1287DC9881D1B2AE81D95D1B2337B239909EC8BA&obsecro_id=b220ea9b-3b8e-48e1-a0a5-b46a8262d12d&srp_versio=1]
2020-02-12 18:19:40.715 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - << [{"B":"4886777f8ada4bc5416777e2f4a27b3e3bd5017651fee7d8b7c343540fee4ed3d5772da8b231d78e4d9fadf27078943ca62a90a69eeef988adc7ec4f19c97232abf67badc8b5d3298f1a30da5ccb45d087c6781b941925cd8fe2dbe3b9e2812b1e8038fd6c9143ccb69f1c0d23dcc954bb84665d7f33dfebda2a62af07b553a1cf67684a60b47c5b6730d79bb02ec16fecc6fe2f3fcb07394411f1b4391d7ddc8e9a608912f2b59b6af2f5acba3a256f5379a0c152ffdf6a08a801b981c62a3349e8314227ec276c1e74983ff9ef5141fae4f24a690664660090b3e009e0ebcc5460375f71a5434b87af97071173f5eec45c7400cb8ab4133fb1583dd04c2246","S":"671e6f1ebc578c0806c97b9409cdcb33","G":"2","H":"SHA-256","K":"5b9e8ef059c6b32ea59fc1d322d37f04aa30bae5aa9003b8321e21ddb04e300","N":"ac6bdb41324a9a9bf166de5e1389582faf72b6651987ee07fc3192943db56050a37329cbb4a099ed8193e0757767a13dd52312ab4b03310dcd7f48a9da04fd50e8083969edb767b0cf6095179a163ab3661a05fbd5faaae82918a9962f0b93b855f97993ec975eeaa80d740adbf4ff747359d041d5c33ea71d281e446b14773bca97b43a23fb801676bd207a436c6481f1d2b9078717461a5b9d32e688f87748544523b524b0d57d5ea77a2775d2ecfa032cfbdbf52fb3786160279004e57ae6af874e7303ce53299ccc041c7bc308d82a5698f3a8d0c38271ae35f8e9dbfbb694b5c803d89f7ae435de236d525f54759b65e372fcd68ef20fa7111f9e4aff73","srp_versio":"1"}]
2020-02-12 18:19:40.716 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 1 response [ServerResponseObject [passwordServerResponse=Step1ServerResponse [serverPublicValueB=4886777f8ada4bc5416777e2f4a27b3e3bd5017651fee7d8b7c343540fee4ed3d5772da8b231d78e4d9fadf27078943ca62a90a69eeef988adc7ec4f19c97232abf67badc8b5d3298f1a30da5ccb45d087c6781b941925cd8fe2dbe3b9e2812b1e8038fd6c9143ccb69f1c0d23dcc954bb84665d7f33dfebda2a62af07b553a1cf67684a60b47c5b6730d79bb02ec16fecc6fe2f3fcb07394411f1b4391d7ddc8e9a608912f2b59b6af2f5acba3a256f5379a0c152ffdf6a08a801b981c62a3349e8314227ec276c1e74983ff9ef5141fae4f24a690664660090b3e009e0ebcc5460375f71a5434b87af97071173f5eec45c7400cb8ab4133fb1583dd04c2246, saltS=671e6f1ebc578c0806c97b9409cdcb33, safePrimeN=ac6bdb41324a9a9bf166de5e1389582faf72b6651987ee07fc3192943db56050a37329cbb4a099ed8193e0757767a13dd52312ab4b03310dcd7f48a9da04fd50e8083969edb767b0cf6095179a163ab3661a05fbd5faaae82918a9962f0b93b855f97993ec975eeaa80d740adbf4ff747359d041d5c33ea71d281e446b14773bca97b43a23fb801676bd207a436c6481f1d2b9078717461a5b9d32e688f87748544523b524b0d57d5ea77a2775d2ecfa032cfbdbf52fb3786160279004e57ae6af874e7303ce53299ccc041c7bc308d82a5698f3a8d0c38271ae35f8e9dbfbb694b5c803d89f7ae435de236d525f54759b65e372fcd68ef20fa7111f9e4aff73, correspondingGeneratorG=2, hashAlgorithmH=SHA-256, srpProtocolVersion=1], ]]
2020-02-12 18:19:40.838 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 2 request A [4025806546220332690427861721954768550226525856702468873146477820958726874691402843813809535742407316703221249862414947923568299438435543367307935835166215492446441015751922198111246666593840573729076915977540376956242189294074004852458831780375762531930388926945677448930957039234781738042680357737704204895162226589979414699901492297092578641774212646309394359208487689580693629109084322462888919931896594892603189828488771062131579635245405550309085308393156904137477665043179050060065107492732029044718264206429303032447923734468681494829887340533713194521849659959311040311425820096255114687418905358969333655837], M1 [84453304826129889899253688175297212567980270840008223878253716602408001177391]
2020-02-12 18:19:40.838 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - >> [https://login.dukascopy.com/authorization-1/demo/auth?munus=srp_api&testimonium_nuntius=bab6e06911d1bfac10cfb5122bcb3b6d55e94c9744bf1a4d14b68f1a5bad872f&passus=2&publicus_pendo=1fe3f9d2bafd6238e03a0e8e2675247938fdd24d47b8e82e5da33691e7018e357880cec3ef5b7995456d28f78002d824ec70a797d9fd024b26ae189703269edff50d438aa90bd650883192e96dfcb1342272368474354cd585a56d367bc6bf604f0a3002ebe30cb24c1b2ab138e9927f441e37ce919c4c05cffa2fd7881e4616bad8c4bdb6e5b1bf7baae70df239651faff354998d0e00159bb2c0a9cefda498c2db67c39fb26e8ccc46cba58b2feebcd3660e4893064fd35aa2306e387b44f8a38561875768e57b4b3f3b23e89778519e68cf991a34f91d03dd0715cc954b687325c2057c26904b5dbe158c17fd35ae50f71f74dbef5f13de661bf41c00a91d&sermo=b28f9638-b5f2-45cc-8cdb-72070ee15dc9&putent_genus=0&obsecro_id=b220ea9b-3b8e-48e1-a0a5-b46a8262d12d&srp_versio=1]
2020-02-12 18:19:41.164 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - << [{"M2":"a3e7ede5a06d0f8805cb608d767278c04c35f0eeca15c4ccc7aa992a44641fcf","srp_versio":"1"}]
2020-02-12 18:19:41.164 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 2 response [ServerResponseObject [passwordServerResponse=Step2ServerResponse [serverEvidenceMessageM2=a3e7ede5a06d0f8805cb608d767278c04c35f0eeca15c4ccc7aa992a44641fcf, srpProtocolVersion=1], ]]
2020-02-12 18:19:41.165 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 3 request
